,State,County,Base Estimate,2020,2021,2022
112, Arkansas,Arkansas,17150,17107,16683.0,16512.0
113, Arkansas,Ashley,19064,18962,18649.0,18354.0
114, Arkansas,Baxter,41633,41687,42171.0,42435.0
115, Arkansas,Benton,284329,286586,294337.0,302863.0
116, Arkansas,Boone,37372,37383,37890.0,38284.0
117, Arkansas,Bradley,10540,10488,10332.0,10135.0
118, Arkansas,Calhoun,4742,4738,4737.0,4695.0
119, Arkansas,Carroll,28260,28242,28480.0,28742.0
120, Arkansas,Chicot,10212,10157,10071.0,9873.0
121, Arkansas,Clark,21447,21387,21217.0,21250.0
122, Arkansas,Clay,14548,14528,14370.0,14265.0
123, Arkansas,Cleburne,24705,24696,25044.0,25284.0
124, Arkansas,Cleveland,7548,7550,7490.0,7467.0
125, Arkansas,Columbia,22798,22742,22510.0,22216.0
126, Arkansas,Conway,20709,20729,20911.0,21046.0
127, Arkansas,Craighead,111233,111603,111788.0,113017.0
128, Arkansas,Crawford,60130,60147,60423.0,61075.0
129, Arkansas,Crittenden,48169,48086,47475.0,47061.0
130, Arkansas,Cross,16830,16796,16693.0,16601.0
131, Arkansas,Dallas,6479,6442,6306.0,6191.0
132, Arkansas,Desha,11395,11320,11050.0,10771.0
133, Arkansas,Drew,17348,17314,17070.0,16911.0
134, Arkansas,Faulkner,123498,123811,125645.0,127665.0
135, Arkansas,Franklin,17101,17135,17166.0,17271.0
136, Arkansas,Fulton,12077,12057,12156.0,12382.0
137, Arkansas,Garland,100172,100249,100386.0,100089.0
138, Arkansas,Grant,17966,18022,18149.0,18160.0
139, Arkansas,Greene,45740,45864,46349.0,46448.0
140, Arkansas,Hempstead,20062,19981,19679.0,19453.0
141, Arkansas,Hot,33046,33075,33108.0,33203.0
142, Arkansas,Howard,12784,12755,12676.0,12557.0
143, Arkansas,Independence,37931,37936,37742.0,37945.0
144, Arkansas,Izard,13574,13597,13928.0,14048.0
145, Arkansas,Jackson,16760,16755,16780.0,16624.0
146, Arkansas,Jefferson,67261,66833,65649.0,64246.0
147, Arkansas,Johnson,25749,25722,25977.0,26001.0
148, Arkansas,Lafayette,6311,6299,6155.0,6101.0
149, Arkansas,Lawrence,16216,16212,16316.0,16205.0
150, Arkansas,Lee,8597,8528,8559.0,8364.0
151, Arkansas,Lincoln,12936,12889,13151.0,12916.0
152, Arkansas,Little,12028,11975,11954.0,11821.0
153, Arkansas,Logan,21132,21103,21207.0,21253.0
154, Arkansas,Lonoke,74010,74046,74766.0,75225.0
155, Arkansas,Madison,16521,16546,16936.0,17486.0
156, Arkansas,Marion,16832,16877,16970.0,17254.0
157, Arkansas,Miller,42595,42579,42499.0,42552.0
158, Arkansas,Mississippi,40692,40544,39577.0,38896.0
159, Arkansas,Monroe,6799,6774,6660.0,6564.0
160, Arkansas,Montgomery,8486,8488,8638.0,8556.0
161, Arkansas,Nevada,8315,8285,8195.0,8181.0
162, Arkansas,Newton,7225,7193,7164.0,7078.0
163, Arkansas,Ouachita,22648,22614,22344.0,22049.0
164, Arkansas,Perry,10021,10000,9989.0,10063.0
165, Arkansas,Phillips,16576,16443,15822.0,15304.0
166, Arkansas,Pike,10180,10172,10121.0,10179.0
167, Arkansas,Poinsett,22965,22952,22730.0,22495.0
168, Arkansas,Polk,19223,19187,19331.0,19337.0
169, Arkansas,Pope,63385,63403,63756.0,64065.0
170, Arkansas,Prairie,8284,8246,8094.0,8069.0
171, Arkansas,Pulaski,399117,399246,398069.0,399145.0
172, Arkansas,Randolph,18571,18590,18842.0,18837.0
173, Arkansas,St.,23089,23013,22701.0,22451.0
174, Arkansas,Saline,123424,123815,125319.0,127357.0
175, Arkansas,Scott,9833,9828,9795.0,9805.0
176, Arkansas,Searcy,7831,7842,7880.0,7918.0
177, Arkansas,Sebastian,127800,127800,128425.0,129059.0
178, Arkansas,Sevier,15844,15779,15709.0,15686.0
179, Arkansas,Sharp,17280,17319,17660.0,17810.0
180, Arkansas,Stone,12358,12350,12432.0,12575.0
181, Arkansas,Union,39049,38926,38364.0,37752.0
182, Arkansas,Van,15797,15801,15751.0,16102.0
183, Arkansas,Washington,245866,246756,251692.0,256054.0
184, Arkansas,White,76822,76851,77157.0,77755.0
185, Arkansas,Woodruff,6276,6228,6153.0,6049.0
186, Arkansas,Yell,20259,20214,20152.0,20129.0
187, California,Alameda,1682331,1680380,1643837.0,1628997.0
188, California,Alpine,1201,1204,1235.0,1190.0
189, California,Amador,40474,40532,41144.0,41412.0
190, California,Butte,211631,210135,206190.0,207303.0
191, California,Calaveras,45285,45346,46219.0,46563.0
192, California,Colusa,21837,21858,21913.0,21914.0
193, California,Contra,1165927,1165986,1163298.0,1156966.0
194, California,Del,27745,27601,27553.0,27082.0
195, California,El,191184,191220,193590.0,192646.0
196, California,Fresno,1008650,1009503,1012992.0,1015190.0
197, California,Glenn,28915,28896,28664.0,28339.0
198, California,Humboldt,136465,136261,134836.0,135010.0
199, California,Imperial,179709,179595,179215.0,178713.0
200, California,Inyo,19025,19001,18927.0,18718.0
201, California,Kern,909244,905828,912351.0,916108.0
202, California,Kings,152488,152790,152679.0,152981.0
203, California,Lake,68158,68195,68584.0,68191.0
204, California,Lassen,32730,32317,31813.0,29904.0
205, California,Los,10014042,9992236,9811842.0,9721138.0
206, California,Madera,156259,156343,158910.0,160256.0
207, California,Marin,262318,261282,259162.0,256018.0
208, California,Mariposa,17128,17118,17107.0,17020.0
209, California,Mendocino,91595,91361,91003.0,89783.0
210, California,Merced,281202,281814,284458.0,290014.0
211, California,Modoc,8700,8663,8571.0,8511.0
212, California,Mono,13198,13226,13261.0,12978.0
213, California,Monterey,439036,438390,437249.0,432858.0
214, California,Napa,138024,137485,136206.0,134300.0
215, California,Nevada,102235,102249,103457.0,102293.0
216, California,Orange,3186979,3185516,3161005.0,3151184.0
217, California,Placer,404740,405889,412789.0,417772.0
218, California,Plumas,19796,19749,19940.0,19351.0
219, California,Riverside,2418177,2422847,2453178.0,2473902.0
220, California,Sacramento,1585046,1586465,1588106.0,1584169.0
221, California,San,64207,64521,66675.0,67579.0
222, California,San,2181662,2183239,2192882.0,2193656.0
223, California,San,3298635,3296045,3274954.0,3276208.0
224, California,San,873959,870393,811253.0,808437.0
225, California,San,779227,780558,788140.0,793229.0
226, California,San,282443,281879,279298.0,282013.0
227, California,San,764432,762511,739060.0,729181.0
228, California,Santa,448217,448244,437434.0,443837.0
229, California,Santa,1936274,1931026,1886595.0,1870945.0
230, California,Santa,270869,270462,260495.0,264370.0
231, California,Shasta,182152,181984,181981.0,180930.0
232, California,Sierra,3234,3228,3295.0,3217.0
233, California,Siskiyou,44075,43991,44026.0,43660.0
234, California,Solano,453490,452698,450350.0,448747.0
235, California,Sonoma,488875,488281,484315.0,482650.0
236, California,Stanislaus,552880,553217,552851.0,551275.0
237, California,Sutter,99631,99464,99038.0,98503.0
238, California,Tehama,65831,65682,65380.0,65245.0
239, California,Trinity,16112,16089,16061.0,15781.0
240, California,Tulare,473117,473891,476946.0,477544.0
241, California,Tuolumne,55623,55374,55065.0,54531.0
242, California,Ventura,843843,843310,839358.0,832605.0
243, California,Yolo,216405,216291,213039.0,222115.0
244, California,Yuba,81578,81994,83216.0,84310.0
245, Colorado,Adams,519582,520479,523592.0,527575.0
246, Colorado,Alamosa,16381,16377,16563.0,16592.0
247, Colorado,Arapahoe,655058,655207,656557.0,655808.0
248, Colorado,Archuleta,13356,13425,13798.0,14003.0
249, Colorado,Baca,3510,3482,3487.0,3432.0
250, Colorado,Bent,5651,5478,5337.0,5399.0
251, Colorado,Boulder,330764,330922,327075.0,327468.0
252, Colorado,Broomfield,74105,74484,75375.0,76121.0
253, Colorado,Chaffee,19473,19477,19711.0,20223.0
254, Colorado,Cheyenne,1748,1744,1716.0,1732.0
255, Colorado,Clear,9394,9393,9445.0,9355.0
256, Colorado,Conejos,7467,7458,7578.0,7579.0
257, Colorado,Costilla,3496,3501,3595.0,3603.0
258, Colorado,Crowley,5919,5694,5731.0,5614.0
259, Colorado,Custer,4703,4719,5064.0,5335.0
260, Colorado,Delta,31199,31051,31383.0,31602.0
261, Colorado,Denver,715538,717556,711323.0,713252.0
262, Colorado,Dolores,2326,2332,2370.0,2455.0
263, Colorado,Douglas,357998,360303,369825.0,375988.0
264, Colorado,Eagle,55730,55665,55773.0,55285.0
265, Colorado,Elbert,26049,26207,27133.0,27799.0
266, Colorado,El,730402,732342,737228.0,740567.0
267, Colorado,Fremont,48938,48878,49234.0,49621.0
268, Colorado,Garfield,61688,61792,62195.0,62271.0
269, Colorado,Gilpin,5810,5824,5899.0,5891.0
270, Colorado,Grand,15717,15748,15870.0,15769.0
271, Colorado,Gunnison,16917,16945,17309.0,17267.0
272, Colorado,Hinsdale,784,788,773.0,775.0
273, Colorado,Huerfano,6816,6827,6922.0,7082.0
274, Colorado,Jackson,1379,1378,1357.0,1302.0
275, Colorado,Jefferson,582902,583050,580926.0,576143.0
276, Colorado,Kiowa,1445,1452,1446.0,1424.0
277, Colorado,Kit,7086,7066,6936.0,6961.0
278, Colorado,Lake,7428,7404,7397.0,7327.0
279, Colorado,La,55639,55675,56187.0,56607.0
280, Colorado,Larimer,359066,359899,362713.0,366778.0
281, Colorado,Las,14557,14482,14318.0,14327.0
282, Colorado,Lincoln,5677,5665,5477.0,5510.0
283, Colorado,Logan,21527,21204,21122.0,20823.0
284, Colorado,Mesa,155710,156005,157434.0,158636.0
285, Colorado,Mineral,865,871,929.0,931.0
