,CountyName,StateName,Fatals,lat,long
105,BAILEY ,Texas,7,43.9850693,-75.504911
106,BAKER ,Florida,21,30.7972254,-86.681691
107,BAKER ,Georgia,6,31.5751746,-84.1093511
108,BAKER ,Oregon,22,44.7748748,-117.834384
109,BALDWIN ,Alabama,122,30.5677527,-87.7324392
110,BALDWIN ,Georgia,37,34.4917665,-83.5373947
111,BALLARD ,Kentucky,13,37.930351,-84.9905101
112,BALTIMORE ,Maryland,458,39.2908816,-76.610759
113,BAMBERG ,South Carolina,9,33.2971012,-81.0348202
114,BANDERA ,Texas,20,29.7270068,-99.0724586
115,BANKS ,Georgia,20,34.2567734,-83.4640511
116,BANNER ,Nebraska,1,35.6417446,-91.8315327
117,BANNOCK ,Idaho,34,42.6936188,-112.2506044
118,BARAGA ,Michigan,8,46.6354348,-88.3876368
119,BARBER ,Kansas,3,37.2113342,-98.7033263
120,BARBOUR ,Alabama,29,31.8589311,-85.4032078
121,BARCELONETA ,Puerto Rico,8,18.447478,-66.542641
122,BARNES ,North Dakota,6,46.9310489,-98.0678849
123,BARNSTABLE ,Massachusetts,52,41.6539787,-70.2819601
124,BARNWELL ,South Carolina,13,33.2448733,-81.3587178
125,BARRANQUITAS ,Puerto Rico,3,18.183788,-66.312345
126,BARREN ,Kentucky,32,36.9584649,-85.925817
127,BARROW ,Georgia,61,,
128,BARRY ,Michigan,30,42.48190645,-85.36659353115701
129,BARRY ,Missouri,41,36.7033624,-93.8229669
130,BARTHOLOMEW ,Indiana,57,39.1914156,-85.8204601
131,BARTON ,Kansas,10,38.9938947,-98.0775503
132,BARTON ,Missouri,8,44.74765495,-72.17575115141928
133,BARTOW ,Georgia,100,32.8787666,-82.4737399
134,BASTROP ,Texas,100,30.1104947,-97.3152701
135,BATES ,Missouri,12,38.2612027,-94.3503613
136,BATH ,Kentucky,10,37.2425996,-82.9112719
137,BAXTER ,Arkansas,28,33.5272081,-91.4986873
138,BAY ,Florida,127,30.2481693,-85.6593633
139,BAY ,Michigan,42,43.6957567,-83.9402747
140,BAYAMÓN ,Puerto Rico,42,18.39856,-66.15572
141,BAYLOR ,Texas,8,33.574962,-99.2000611
142,BEADLE ,South Dakota,6,44.4157764,-98.2751583
143,BEAR LAKE ,Idaho,2,42.2172123,-111.3198808
144,BEAUFORT ,North Carolina,21,34.7180601,-76.6591587
145,BEAUFORT ,South Carolina,72,32.4315813,-80.6698286
146,BEAUREGARD ,Louisiana,27,45.9996,4.75142
147,BEAVER ,Oklahoma,9,36.8142376,-100.522044
148,BEAVER ,Pennsylvania,48,40.6953896,-80.3047887
149,BEAVER ,Utah,12,38.2765305,-112.640278
150,BEAVERHEAD ,Montana,10,43.4088984,23.2203193
151,BECKER ,Minnesota,20,45.3931821,-93.8768904
152,BECKHAM ,Oklahoma,17,35.2496723,-99.6946079
153,BEDFORD ,Pennsylvania,29,40.0186921,-78.5039069
154,BEDFORD ,Tennessee,27,35.463684,-86.5736066
155,BEE ,Texas,13,28.3871179,-97.7191838
156,BELKNAP ,New Hampshire,28,43.5218848,-71.4530581
157,BELL ,Kentucky,18,36.6696939,-84.6749645
158,BELL ,Texas,158,31.0081659,-97.4314413
159,BELMONT ,Ohio,28,40.0292374,-81.0389883
160,BELTRAMI ,Minnesota,23,47.9978537,-94.8799011
161,BEN HILL ,Georgia,7,31.7462726,-83.2355879
162,BENEWAH ,Idaho,8,47.2162961,-116.6654616
163,BENNETT ,South Dakota,5,39.74602,-104.4431973
164,BENSON ,North Dakota,10,48.0191362,-99.403103
165,BENT ,Colorado,3,37.9421152,-103.0964287
166,BENTON ,Arkansas,101,34.5645372,-92.586828
167,BENTON ,Indiana,11,41.509216,-85.7611016
168,BENTON ,Iowa,21,40.7033553,-94.3582389
169,BENTON ,Minnesota,12,44.76099065,-93.85343296647378
170,BENTON ,Mississippi,13,32.8265223,-90.259533
171,BENTON ,Missouri,20,37.098442500000004,-89.56217768816309
172,BENTON ,Oregon,27,40.7033553,-94.3582389
173,BENTON ,Tennessee,14,35.1742411,-84.6535468
174,BENZIE ,Michigan,9,44.6408868,-85.9928452
175,BERGEN ,New Jersey,145,40.8042674,-74.012084
176,BERKELEY ,South Carolina,144,38.7544952,-90.3312256
177,BERKS ,Pennsylvania,155,40.85768455,-77.86342365080456
178,BERKSHIRE ,Massachusetts,54,42.1889783,-73.3690013
179,BERNALILLO ,New Mexico,425,35.3009305,-106.551425
180,BERRIEN ,Georgia,13,31.2561376,-83.2443709
181,BERRIEN ,Michigan,78,41.9838614,-86.3985714
182,BERTIE ,North Carolina,25,29.9193699,-90.9878759
183,BETHEL ,Alaska,3,61.3204199,-159.3709719
184,BEXAR ,Texas,757,29.4263987,-98.5104781
185,BIBB ,Alabama,17,32.971079,-87.1227088
186,BIBB ,Georgia,139,32.8095879,-83.694562
187,BIENVILLE ,Louisiana,14,32.3568222,-92.9804375
188,BIG HORN ,Montana,44,43.4088984,23.2203193
189,BIG STONE ,Minnesota,3,45.385266,-96.3557364
190,BILLINGS ,North Dakota,3,47.0456305,-103.3943708
191,BINGHAM ,Idaho,26,43.1881598,-112.3598354
192,BLACK HAWK ,Iowa,35,42.4607526,-92.3030235
193,BLACKFORD ,Indiana,7,56.2609584,-3.7810016
194,BLADEN ,North Carolina,42,34.537393,-78.4750062
195,BLAINE ,Idaho,19,43.3336455,-113.8808311
196,BLAINE ,Montana,6,43.4088984,23.2203193
197,BLAINE ,Nebraska,2,41.9195837,-99.979237
198,BLAINE ,Oklahoma,18,44.3091419,-89.3156722
199,BLAIR ,Pennsylvania,32,40.397868,-78.4098837830033
200,BLANCO ,Texas,18,30.1007035,-98.4220602
201,BLECKLEY ,Georgia,9,32.4305311,-83.3311795
202,BLEDSOE ,Tennessee,14,36.5155994,-86.2655447
203,BLOUNT ,Alabama,56,33.9510169,-86.5702002
204,BLOUNT ,Tennessee,74,48.5937675,-1.5561327
205,BLUE EARTH ,Minnesota,12,43.637455,-94.1021821
206,BOISE ,Idaho,27,43.6166163,-116.200886
207,BOLIVAR ,Mississippi,25,33.659834,-91.0531635
208,BOLLINGER ,Missouri,5,37.3310468,-90.0296175
209,BON HOMME ,South Dakota,7,43.0067408,-97.8721324
210,BOND ,Illinois,14,34.2298299,-83.1873724
211,BONNER ,Idaho,29,48.2663565,-116.5952716
212,BONNEVILLE ,Idaho,52,50.082567,2.2486687
213,BOONE ,Arkansas,34,36.4736776,-93.021009
214,BOONE ,Illinois,24,42.3694695,-88.74479877321353
215,BOONE ,Indiana,28,41.3547602,-87.1294742
216,BOONE ,Iowa,13,42.0596994,-93.8802202
217,BOONE ,Kentucky,39,37.5175837,-84.316601
218,BOONE ,Missouri,60,39.0153926,-92.3307534
219,BOONE ,Nebraska,2,41.6264005,-97.9175582
220,BORDEN ,Texas,5,29.6913451,-96.70192
221,BOSQUE ,Texas,16,31.8778358,-97.6561014
222,BOSSIER ,Louisiana,46,32.6676663,-93.5959786
223,BOTTINEAU ,North Dakota,5,48.82723,-100.445698
224,BOULDER ,Colorado,89,40.0149856,-105.270545
225,BOUNDARY ,Idaho,7,48.7846346,-116.4339511
226,BOURBON ,Kansas,9,37.8485797,-94.8679591
227,BOURBON ,Kentucky,23,37.0520216,-84.6224415
228,BOWIE ,Texas,59,33.558993,-97.8484719
229,BOWMAN ,North Dakota,1,46.1830618,-103.3949061
230,BOX BUTTE ,Nebraska,6,42.2130279,-103.0700157
231,BOX ELDER ,Utah,35,41.3586056,-113.2112072
232,BOYD ,Kentucky,14,38.5506277,-84.3941053
233,BOYLE ,Kentucky,10,39.2833809,-90.5773442
234,BRACKEN ,Kentucky,7,49.1785488,-108.0940163
235,BRADFORD ,Florida,29,30.6551933,-85.5515957
236,BRADFORD ,Pennsylvania,36,41.9558963,-78.6439164
237,BRADLEY ,Arkansas,10,33.0981881,-93.6548984
238,BRADLEY ,Tennessee,45,53.0786996,-3.0088034
239,BRANCH ,Michigan,17,43.9462075,-86.0393851
240,BRANTLEY ,Georgia,11,32.3704259,-84.5621431
241,BRAZORIA ,Texas,158,29.0444147,-95.5691126
242,BRAZOS ,Texas,59,32.6615198,-98.1219883
243,BREATHITT ,Kentucky,18,37.5248869,-83.2943551
244,BRECKINRIDGE ,Kentucky,15,38.4414625,-84.378549
245,BREMER ,Iowa,15,42.7733139,-92.3949044
246,BREVARD ,Florida,323,28.2100203,-80.7997185
247,BREWSTER ,Texas,5,29.8462742,-103.2400734
248,BRISCOE ,Texas,2,35.5837973,-100.287758
249,BRISTOL ,Massachusetts,168,45.5182488,-76.4161209
250,BRISTOL ,Rhode Island,2,41.6770463,-71.2661597
251,BRISTOL BAY ,Alaska,1,58.7370341,-156.8753867
252,BROADWATER ,Montana,5,43.4088984,23.2203193
253,BRONX ,New York,157,40.8466508,-73.8785937
254,BROOKINGS ,South Dakota,8,44.311461,-96.79844
255,BROOKS ,Georgia,17,33.2909517,-84.45937
256,BROOKS ,Texas,14,29.34514,-98.4433576
257,BROOME ,New York,52,42.509167,-74.307222
258,BROOMFIELD ,Colorado,16,39.9403995,-105.05208
259,BROWARD ,Florida,952,26.1598074,-80.4623642
260,BROWN ,Illinois,1,39.9498214,-90.7485656
261,BROWN ,Indiana,11,39.77224645,-86.0878426256534
262,BROWN ,Kansas,18,39.824223,-95.5819952
263,BROWN ,Minnesota,6,44.2350232,-94.6955051
264,BROWN ,Nebraska,1,42.4068829,-99.9120353
265,BROWN ,Ohio,25,39.9417247,-84.0674374
266,BROWN ,South Dakota,13,45.5832968,-98.3674786
267,BROWN ,Texas,16,31.7525184,-98.9904722
268,BRULE ,South Dakota,4,43.6848301,-99.0538876
269,BRUNSWICK ,North Carolina,84,34.2867996,-78.7011356
270,BRYAN ,Georgia,22,34.8978619,-84.1724148
271,BRYAN ,Oklahoma,37,41.4747732,-84.5524508
272,BUCHANAN ,Iowa,9,41.7650514,-91.246335
273,BUCHANAN ,Missouri,37,37.2111632,-90.1923298
274,BUCKS ,Pennsylvania,195,40.3451668,-75.1263909
275,BUENA VISTA ,Iowa,6,41.741972,-90.7404215
276,BUFFALO ,Nebraska,15,40.9891743,-99.8353938
277,BUFFALO ,South Dakota,7,45.5841637,-103.5460251
278,BULLITT ,Kentucky,50,37.9749498,-85.6742394
279,BULLOCH ,Georgia,60,32.3846338,-81.744832
280,BULLOCK ,Alabama,20,31.5407182,-86.1785637
281,BUNCOMBE ,North Carolina,114,35.831940200000005,-78.66311847990804
282,BUREAU ,Illinois,34,41.4016294,-89.5341179
283,BURKE ,Georgia,34,31.2318536,-94.7685411
284,BURKE ,North Carolina,54,36.0787675,-80.3070416
285,BURLEIGH ,North Dakota,21,46.9498874,-100.5127667
286,BURLESON ,Texas,26,32.5420821,-97.3208492
287,BURLINGTON ,New Jersey,147,40.0712218,-74.8648859
288,BURNET ,Texas,34,30.7608552,-98.2239954
289,BURT ,Nebraska,9,43.3164256,-78.7135965
290,BUTLER ,Alabama,36,32.0895908,-88.2219652
291,BUTLER ,Iowa,5,42.7336512,-92.7819493
292,BUTLER ,Kansas,24,37.77924,-96.8456342
293,BUTLER ,Kentucky,11,38.7864569,-84.3696594
294,BUTLER ,Missouri,37,38.2587399,-94.3329016
295,BUTLER ,Nebraska,5,43.1743949,-76.7682932
296,BUTLER ,Ohio,104,40.5886946,-82.4258375
297,BUTLER ,Pennsylvania,58,40.86108,-79.895197
298,BUTTE ,California,152,39.6519275,-121.5858444
299,BUTTE ,Idaho,6,43.6989304,-113.2210324
300,BUTTE ,South Dakota,8,44.9121731,-103.5267067
301,BUTTS ,Georgia,27,32.7259967,-82.026227
302,CABARRUS ,North Carolina,84,35.2370876,-80.5417335
303,CABO ROJO ,Puerto Rico,8,18.093661,-67.155188
304,CACHE ,Utah,32,41.7042978,-111.7451159
